rnai_gene_name,strain_genotype,temp,trial_num,day_adult,dead_num,total_num
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,11,5,19
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,6,0,23
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,8,0,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,15,10,20
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,12,0,0
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,6,0,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,10,4,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,11,5,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,4,0,22
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,6,0,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,19,21,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,11,1,22
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,18,18,20
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,12,5,17
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,8,0,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,14,14,23
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,8,0,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,19,19,19
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,14,2,4
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,6,0,30
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,21,29,29
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,10,4,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,15,16,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,18,33,33
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,12,6,14
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,12,1,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,17,19,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,15,15,19
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,19,15,15
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,15,14,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,17,16,16
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,10,0,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,17,18,18
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,19,23,25
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,11,3,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,17,21,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,8,0,27
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,8,2,33
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,21,13,13
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,18,15,16
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,21,21,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,23,16,16
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,4,0,28
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,4,0,27
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,18,21,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,14,2,3
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,17,23,23
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,15,29,34
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,4,0,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,12,2,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,11,4,27
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,6,0,22
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,10,3,24
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,23,23,23
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,19,18,18
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,14,8,19
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,4,0,36
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,18,19,20
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,14,17,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,1,10,1,22
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,4,0,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,11,0,6
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,18,15,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,16,5,15
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,17,15,15
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,15,22,29
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,9,0,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,14,8,20
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,11,2,12
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,6,0,13
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,15,7,11
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,6,0,10
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,17,14,25
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,24,15,15
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,18,21,23
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,24,9,9
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,14,9,36
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,7,0,27
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,13,4,15
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,7,1,14
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,22,5,5
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,16,7,19
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,11,4,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,4,0,20
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,20,20,20
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,17,11,16
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,13,3,14
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,20,16,18
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,16,1,6
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,14,2,6
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,13,5,13
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,9,0,15
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,14,11,42
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,9,1,8
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,7,0,4
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,6,0,27
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,4,0,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,15,8,29
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,4,0,20
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,20,20,21
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,9,0,19
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,7,0,38
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,22,10,10
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,6,0,26
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,22,9,9
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,6,0,22
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,20,16,16
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,7,0,7
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,18,17,17
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,17,13,18
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,9,0,20
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,20,10,10
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,17,29,35
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,14,7,16
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,13,6,23
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,4,0,22
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,22,25,25
daf-16,daf-16(mgDf47); daf-2(e1370) 4x,20,2,18,14,16
